"POS","ID","PosScore","NegScore","SynsetTerms","Gloss"
"n","05170400",0.75,0,"sense_of_purpose#1 purposefulness#1","the quality of having a definite purpose"
"n","05171045",0.875,0,"essentialness#1 essentiality#1","basic importance"
"n","05173795",0.625,0,"meaninglessness#2","the quality of having no value or significance; \"he resented the meaninglessness of the tasks they assigned him\""
"n","05174326",0.625,0,"purposelessness#1 aimlessness#1","the quality of lacking any definite purpose"
"n","05182157",0.625,0,"right_to_liberty#1","the right to be free"
"n","05193621",0.75,0.25,"shrillness#1","the quality of being sharp or harsh to the senses; \"the shrillness of her hair color\""
"n","05202497",0.625,0.125,"capableness#2 capability#1","the quality of being capable -- physically or intellectually or legally; \"he worked to the limits of his capability\""
"n","05203207",0.625,0,"executability#1","capability of being executed; \"the job is executable for two million dollars\"; \"this contract is not executable\""
"n","05208422",0.625,0.125,"romanticism#3 romance#2","an exciting and mysterious quality (as of a heroic time or adventure)"
"n","05210003",0.625,0.125,"ratability#2","the quality of being capable of being rated or estimated"
"n","05210717",0.625,0.25,"comicality#1","the quality of being comical"
"n","05210820",0.625,0.125,"voluptuousness#1 hot_stuff#1","the quality of being attractive and exciting (especially sexually exciting); \"he thought she was really hot stuff\""
"n","05614476",0.75,0,"eye#2","good discernment (either visually or as if visually); \"she has an eye for fresh talent\"; \"he has an artist's eye\""
"n","05615028",0.75,0,"logic#2","reasoned and reasonable judgment; \"it made a certain kind of logic\""
"n","05615258",0.625,0,"road_sense#1","good judgment in avoiding trouble or accidents on the road"
"n","05615373",0.875,0,"judiciousness#1","good judgment"
"n","05616092",0.875,0,"injudiciousness#1 indiscreetness#1","lacking good judgment"
"n","05616786",0.625,0,"know-how#1","the (technical) knowledge and skill required to do something"
"n","05619743",0.75,0,"genius#2 brilliance#3","unusual mental ability"
"n","05620190",0.625,0,"scintillation#3","a brilliant display of wit"
"n","05621178",0.625,0,"wiliness#1 slyness#1 guile#1 foxiness#1 cunning#1 craftiness#1 craft#5","shrewdness as demonstrated by being skilled in deception"
"n","05623181",0.625,0,"potentiality#2 capableness#1 capability#3","an aptitude that may be developed"
"n","05628658",0.625,0,"garden_of_eden#1 eden#2","a beautiful garden where Adam and Eve were placed at the Creation; when they disobeyed and ate the forbidden fruit from the tree of knowledge of good and evil they were driven from their paradise (the fall of man)"
"n","05637356",0.625,0,"bravura#1","brilliant and showy technical skill; \"in a final bravura the ballerina appeared to be floating in water\"; \"the music ends with a display of bravura\""
"n","05657999",0.75,0,"ear#2","good hearing; \"he had a keen ear\"; \"a good ear for pitch\""
"n","05670615",0.75,0,"balletomania#1","extraordinary enthusiasm for ballets"
"n","05672178",0.625,0,"point_of_honor#1","a concern that seriously reflects on your honor"
"n","05703803",0.625,0,"notice#6","polite or favorable attention; \"his hard work soon attracted the teacher's notice\""
"n","05718556",0.875,0,"music#2 euphony#1","any agreeable (pleasing and harmonious) sounds; \"he fell asleep to the music of the wind chimes\""
"n","05749210",0.625,0,"word-splitting#1 hairsplitting#1","making too fine distinctions of little importance; \"they didn't take his hairsplitting seriously\""
"n","05751707",0.75,0.25,"discretion#3 delicacy#3","refined taste; tact"
"n","05757234",0.75,0,"mastering#1","becoming proficient in the use of something; having mastery of; \"his mastering the art of cooking took a long time\""
"n","05805012",0.625,0,"know#1","the fact of being aware of information that is known to few people; \"he is always in the know\""
"n","05808218",0.625,0,"find#1 discovery#3 breakthrough#1","a productive insight"
"n","05815691",0.625,0,"blind_spot#1","a subject about which you are ignorant or prejudiced and fail to exercise good judgment; \"golf is one of his blind spots and he's proud of it\""
"n","05819453",0.625,0,"truth#1","a fact that has been verified; \"at last he knew the truth\"; \"the truth is that he didn't want to do it\""
"n","05853924",0.625,0,"foil#2 enhancer#1","anything that serves by contrast to call attention to another thing's good qualities; \"pretty girls like plain friends as foils\""
"n","05881303",0.75,0,"law_of_effect#1","(psychology) the principle that behaviors are selected by their consequences; behavior having good consequences tends to be repeated whereas behavior that leads to bad consequences is not repeated"
"n","05894143",0.625,0,"logical_fallacy#1","a fallacy in logical argumentation"
"n","05900583",0.625,0,"rehabilitation_program#1","a program for restoring someone to good health"
"n","05909384",0.625,0,"wheeze#2","(Briticism) a clever or amusing scheme or trick; \"a clever wheeze probably succeeded in neutralizing the German espionage threat\""
"n","05918267",0.625,0,"theorem#2","an idea accepted as a demonstrable truth"
"n","05924730",0.75,0,"gold_standard#2","a paragon of excellence; \"academic education is the gold standard against which other educational activity is pejoratively judged\""
"n","05932709",0.625,0,"eye_candy#1","visual images that are pleasing to see but are intellectually undemanding; \"he wanted to put some eye candy on their web site\""
"n","05938400",0.625,0,"pilot#4 original#2 archetype#1","something that serves as a model or a basis for making copies; \"this painting is a copy of the original\""
"n","05939244",0.625,0.125,"prodigy#3","an impressive or wonderful example of a particular quality; \"the Marines are expected to perform prodigies of valor\""
"n","05955323",0.75,0,"principle#2","a rule or standard especially of good behavior; \"a man of principle\"; \"he will not violate his principles\""
"n","05957737",0.625,0.125,"scruple#3","an ethical or moral principle that inhibits action"
"n","05958427",0.625,0.125,"amoralism#1","the doctrine that moral distinctions are invalid"
"n","05962602",0.625,0,"imitation#1","the doctrine that representations of nature or human behavior should be accurate imitations"
"n","05975051",0.625,0,"instrumentalism#1","a system of pragmatic philosophy that considers idea to be instruments that should guide our actions and their value is measured by their success"
"n","05976471",0.75,0,"sensualism#2 sensationalism#3","(philosophy) the ethical doctrine that feeling is the only criterion for what is good"
"n","05979800",0.625,0,"white_magic#1","magic used only for good purposes"
"n","06160055",0.625,0,"casuistry#2","moral philosophy based on the application of general ethical principles to resolve moral dilemmas"
"n","06160596",0.75,0,"hedonism#2","an ethical system that evaluates the pursuit of pleasure as the highest good"
"n","06206800",0.75,0,"respect#3 regard#7 esteem#3","an attitude of admiration or esteem; \"she lost all respect for him\""
"n","06231494",0.625,0,"methodism#1","the religious beliefs and practices of Methodists characterized by concern with social welfare and public morals"
"n","06340977",0.625,0,"hakham#1","a Hebrew title of respect for a wise and highly educated man"
"n","06403969",0.625,0,"penmanship#1 chirography#1 calligraphy#1","beautiful handwriting"
"n","06447897",0.625,0,"revelation_of_saint_john_the_divine#1 revelation#4 book_of_revelation#1 apocalypse#2","the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
"n","06643120",0.625,0,"good_word#2","good news"
"n","06656143",0.625,0,"categorical_imperative#1","the moral principle that behavior should be determined by duty"
"n","06691684",0.625,0,"plaudits#1 plaudit#1 eclat#1 acclamation#1 acclaim#1","enthusiastic approval; \"the book met with modest acclaim\"; \"he acknowledged the plaudits of the crowd\"; \"they gave him more eclat than he really deserved\""
"n","06693198",1,0,"praise#1 kudos#1 extolment#1 congratulations#1","an expression of approval and commendation; \"he always appreciated praise for his work\""
"n","06697195",0.625,0,"tribute#1 testimonial#2","something given or done as an expression of esteem"
"n","06714874",0.75,0,"courtesy#2","a courteous or respectful or considerate remark"
"n","06721461",0.625,0,"stinger#2 cut#7","a remark capable of wounding mentally; \"the unkindest cut of all\""
"n","06732581",0.625,0,"reassertion#1 reaffirmation#1","renewed affirmation"
"n","06742932",0.75,0,"moralizing#1 moralization#1 moralisation#1","indulgence in moral pronouncements; the exposition (often superficially) of a particular moral code; \"his constant moralizing drove me mad\""
"n","06743230",0.625,0,"preachification#1","moralization delivered tediously in a preachy manner"
"n","06757289",0.625,0,"song_and_dance#2 fairytale#2 fairy_tale#2 fairy_story#2 cock-and-bull_story#1","an interesting but highly implausible story; often told as an excuse"
"n","06781878",0.75,0,"topper#4","an exceedingly good witticism that surpasses all that have gone before"
"n","06783155",0.875,0,"divination#1","successful conjecture by unusual insight or good luck"
"n","06892657",0.625,0,"benefit_concert#1","a concert given for the benefit of some charitable cause"
"n","07137461",0.625,0,"sweet_nothings#1 honeyed_words#1","inconsequential expressions of affection; \"he whispered sweet nothings into her ear\""
"n","07140348",0.625,0,"felicitation#1 congratulation#2","(usually plural) an expression of pleasure at the success or good fortune of another; \"I sent them my sincere congratulations on their marriage\""
"n","07153641",0.75,0.125,"moralism#1","a moral maxim"
"n","07174260",0.625,0,"popularization#1 popularisation#1","an interpretation that easily understandable and acceptable"
"n","07227589",0.75,0,"clean_bill_of_health#1","an assurance that someone is healthy or something is in good condition; \"the doctor gave him a clean bill of health\""
"n","07247451",0.625,0,"buildup#3","highly favorable publicity and praise; \"his letter of recommendation gave her a terrific buildup\""
"n","07268302",0.75,0,"cordon_bleu#2 blue_ribbon#1","an honor or award gained for excellence"
"n","07286799",0.625,0,"auspice#1","a favorable omen"
"n","07289588",0.625,0,"wonder#2 marvel#1","something that causes feelings of wonder; \"the wonders of modern science\""
"n","07293391",0.625,0,"square_deal#1 fair_deal#1","fair treatment"
"n","07294423",0.778,0.222,"deserts#1 comeuppance#1 comeupance#1","an outcome (good or bad) that is well deserved"
"n","07295629",0.625,0,"wages#1 reward#1 payoff#4","a recompense for worthy acts or retribution for wrongdoing; \"the wages of sin is death\"; \"virtue is its own reward\""
"n","07337694",0.625,0,"vicissitude#1","a variation in circumstances or fortune at different times in your life or in the development of something; \"the project was subject to the usual vicissitudes of exploratory research\""
"n","07434102",0.625,0,"warping#1 warp#3","a moral or mental distortion"
"n","07480068",0.625,0,"emotion#1","any strong feeling"
"n","07481084",0.625,0,"infatuation#1","a foolish and usually extravagant passion or love or admiration"
"n","07487955",0.625,0,"sexual_desire#1 physical_attraction#1 eros#2 concupiscence#1","a desire for sexual intimacy"
"n","07488567",0.625,0,"aphrodisia#1","a desire for heterosexual intimacy"
"n","07488788",0.625,0,"passion#5","a feeling of strong sexual desire"
"n","07489714",0.625,0,"lustfulness#1 lust#1 lecherousness#1","a strong sexual desire"
"n","07491981",0.75,0,"zestfulness#1 zest#1 relish#1 gusto#1","vigorous and enthusiastic enjoyment"
"n","07500159",0.625,0,"approval#2","a feeling of liking something or someone good; \"although she fussed at them, she secretly viewed all her children with approval\""
"n","07500414",0.75,0.125,"favour#1 favor#4","a feeling of favorable regard"
"n","07500741",0.625,0.125,"esteem#2 admiration#1","a feeling of delighted approval and liking"
"n","07501420",0.875,0.125,"worship#2 adoration#1","a feeling of profound love and admiration"
"n","07508486",0.625,0,"pridefulness#1 pride#1","a feeling of self-respect and personal worth"
"n","07509996",0.75,0,"wonderment#1 wonder#1 admiration#2","the feeling aroused by something strange and surprising"
"n","07512039",0.625,0,"playfulness#1 gaiety#2","a festive merry feeling"
"n","07527061",0.875,0,"bonheur#1","(French) happiness and good humor"
"n","07529245",0.625,0,"merriment#1 gaiety#1","a gay feeling"
"n","07530478",0.75,0,"cheerfulness#2 blitheness#1","a feeling of spontaneous good spirits; \"his cheerfulness made everyone feel better\""
"n","07541760",0.75,0.125,"sanguinity#1 sanguineness#1","feeling sanguine; optimistically cheerful and confident"
"n","07543288",0.625,0,"love#1","a strong positive emotion of regard and affection; \"his love for his work\"; \"children need a lot of love\""
"n","07544213",0.625,0,"enamoredness#1 amorousness#1","a feeling of love or fondness"
"n","07544647",0.625,0.25,"warmness#1 warmheartedness#2 tenderness#4 philia#1 heart#9 fondness#2 affectionateness#1 affection#1","a positive feeling of liking; \"he had trouble expressing the affection he felt\"; \"the child won everyone's heart\"; \"the warmness of his welcome made us feel right at home\""
"n","07545415",0.75,0,"respect#6 regard#6","a feeling of friendship and esteem; \"she mistook his manly regard for love\"; \"he inspires respect\""
"n","07545594",0.625,0.125,"soft_spot#2","a sentimental affection; \"she had a soft spot for her youngest son\""
"n","07545833",0.75,0,"beneficence#1","doing good; feeling beneficent"
"n","07549716",0.625,0,"envy#1 enviousness#1","a feeling of grudging admiration and desire to have something that is possessed by another"
"n","07551691",0.875,0,"good_temper#1 good_humour#1 good_humor#1 amiability#1","a cheerful and agreeable mood"
"n","07551890",0.75,0,"joviality#1 jollity#1 jolliness#1","feeling jolly and jovial and full of good humor"
"n","07597263",0.625,0,"sweetmeat#1","a sweetened delicacy (as a preserve or pastry)"
"n","07602279",0.625,0,"cooking_chocolate#1 bitter_chocolate#1 baking_chocolate#1","pure unsweetened chocolate used in baking and icings and sauces and candy"
"n","07646067",0.625,0,"hen#3","flesh of an older chicken suitable for stewing"
"n","07647321",0.625,0,"quail#1","flesh of quail; suitable for roasting or broiling if young; otherwise must be braised"
"n","07668215",0.75,0,"roast_lamb#1 lamb_roast#1","a cut of lamb suitable for roasting"
"n","07668588",0.625,0,"leg_of_lamb#1 gigot#1","lamb leg suitable for roasting"
"n","07702509",0.625,0,"junk_food#1","food that tastes good but is high in calories having little nutritional value"
"n","07708260",0.625,0,"eater#2","any green goods that are good to eat; \"these apples are good eaters\""
"n","07723330",0.625,0,"salad_greens#1 salad_green#1","greens suitable for eating uncooked as in salads"
"n","07741888",0.625,0,"stayman_winesap#1","crisp tart apple; good for eating raw and suitable for cooking"
"n","07922955",0.75,0,"criollo#2","cocoa of superior quality"
"n","09312843",0.75,0,"infective_agent#1 infectious_agent#1","an agent capable of producing infection"
"n","09405078",0.625,0,"rangeland#1","land suitable for grazing livestock"
"n","09424489",0.625,0,"satisfier#1","any agent capable of producing satisfaction"
"n","09529364",0.625,0,"uma#1","a benevolent aspect of Devi; `splendor'"
"n","09539183",0.625,0,"archangel#1","an angel ranked above the highest rank in the celestial hierarchy"
"n","09542697",0.75,0,"good_spirit#1 eudemon#1 eudaemon#1","a benevolent spirit"
"n","09545000",0.625,0,"houri#2","(Islam) one of the dark-eyed virgins of perfect beauty believed to live with the blessed in Paradise"
"n","09573405",0.625,0,"fortuna#1","(Roman mythology) the goddess of fortune and good luck; counterpart of Greek Tyche"
"n","09789150",0.75,0,"amoralist#1","someone who adheres to the doctrine that ordinary moral distinctions are invalid"
"n","09800631",0.625,0,"truckler#1 groveller#1 groveler#1 fawner#1 bootlicker#1 apple_polisher#1","someone who humbles himself as a sign of respect; who behaves as if he had no self-respect"
"n","09817386",0.625,0.25,"associate_professor#1","a teacher lower in rank than a full professor but higher than an assistant professor"
"n","09822640",0.75,0,"attester#1 attestant#2","someone who affirms or vouches for the correctness or truth or genuineness of something"
"n","09874428",0.75,0,"brick#2","a good fellow; helpful and trustworthy"
"n","09975630",0.625,0,"craftsman#1","a professional whose work is consistently of high quality; \"as an actor he was a consummate craftsman\""
"n",10002477,0.625,0,"demon#3","someone extremely diligent or skillful; \"he worked like a demon to finish the job on time\"; \"she's a demon at math\""
"n",10093396,1,0,"first-rater#1","one who is first-rate"
"n",10100761,0.625,0,"tomfool#1 saphead#1 sap#2 muggins#1 fool#1","a person who lacks good judgment"
"n",10115748,0.625,0,"full_professor#1","a professor of the highest rank"
"n",10125697,0.625,0,"general_manager#1","the highest ranking manager"
"n",10198832,0.75,0.125,"idolizer#1 idoliser#1","a lover blind with admiration and devotion"
"n",10220924,0.75,0.125,"jekyll_and_hyde#1","someone with two personalities - one good and one evil"
"n",10222353,0.75,0,"jimhickey#1 jimdandy#1 crackerjack#1","someone excellent of their kind; \"he's a jimdandy of a soldier\""
"n",10278128,0.875,0,"mummy#1 mum#2 mommy#1 momma#1 mom#1 mammy#2 mamma#1 mama#1 ma#1","informal terms for a mother"
"n",10280130,0.625,0,"master#1 maestro#1","an artist of consummate skill; \"a master of the violin\"; \"one of the old masters\""
"n",10325243,0.75,0,"saint#3 paragon#2 nonsuch#1 nonpareil#1 nonesuch#1 ideal#2 apotheosis#1","model of excellence or perfection of a kind; one having no equal"
"n",10325549,0.75,0,"class_act#1","someone who shows impressive and stylish excellence"
"n",10325656,0.625,0,"humdinger#1","someone of remarkable excellence; \"a humdinger of a secretary\""
"n",10386196,0.75,0,"out-and-outer#1","someone who is excellent at something"
"n",10416364,0.625,0,"peri#1","a beautiful and graceful girl"
"n",10441124,0.75,0,"pleaser#1","a pleasing entertainer; \"he is quite the crowd pleaser\""
"n",10456514,0.75,0,"possible#2","an applicant who might be suitable"
"n",10523076,1,0,"researcher#1 research_worker#1 investigator#1","a scientist who devotes himself to doing research"
"n",10611869,0.625,0,"slicker#2","a person with good manners and stylish clothing"
"n",10615179,0.625,0,"sweet_talker#1 smoothy#1 smoothie#1 charmer#1","someone with an assured and ingratiating manner"
"n",10676018,0.75,0,"superordinate#1 superior#1 higher-up#1","one of greater rank or station or quality"
"n",10713502,0.625,0,"wassailer#2 toaster#1","someone who proposes a toast; someone who drinks to the health of success of someone or some venture"
"n",10743124,0.625,0,"utilizer#1 utiliser#1","someone who puts to good use; \"not all organisms are utilizers of oxygen\"; \"the social agencies and their utilizers both objected to the budget cut\""
"n",10882436,0.625,0,"thomas_carew#1 carew#1","Englishman and Cavalier poet whose lyric poetry was favored by Charles I (1595-1639)"
"n",10980097,0.625,0,"frederick_i#1","son of Frederick William who in 1701 became the first king of Prussia (1657-1713)"
"n",11456462,0.625,0,"temperateness#1 sunshine#2 fair_weather#1","moderate weather; suitable for outdoor activities"
"n",11463895,0.75,0.125,"serendipity#1","good luck in making unexpected and fortunate discoveries"
"n",11657904,0.625,0,"parasite_yew#1 parasitaxus_ustus#1","rare and endangered monoecious parasitic conifer of New Caledonia; parasitic on Falcatifolium taxoides"
"n",12964130,0.625,0,"sphaeriaceae#1 family_sphaeriaceae#1","parasitic fungi having globose and sometimes necked or beaked perithecia"
"n",12979129,0.625,0,"synchytrium#1 genus_synchytrium#1","simple parasitic fungi including pond scum parasites"
"n",12980478,0.625,0,"peronosporaceae#1 family_peronosporaceae#1","parasitic fungi: downy mildews"
"n",13012613,0.625,0,"lepiotaceae#1 family_lepiotaceae#1","a family of fungi having free gills and a cap that is cleanly separable from the stalk"
"n",13120775,0.625,0,"semiparasite#1 hemiparasite#1","a parasitic plant that contains some chlorophyll and therefore is capable of photosynthesis"
"n",13252853,0.625,0,"white_elephant#1","a valuable possession whose upkeep is excessively expensive"
"n",13509843,0.625,0.125,"lysis#1","recuperation in which the symptoms of an acute disease gradually subside"
"n",13796216,0.625,0,"immateriality#1","complete irrelevance requiring no further consideration"
"n",13855100,0.625,0,"antipode#1","direct opposite; \"quiet: an antipode to focused busyness\""
"n",13855230,0.75,0,"antithesis#1","exact opposite; \"his theory is the antithesis of mine\""
"n",13856320,0.625,0,"gradable_opposition#1","an opposition that is capable of being graded"
"n",13858270,0.75,0,"contrary#2","exact opposition; \"public opinion to the contrary he is not guilty\""
"n",13986679,0.625,0.125,"satisfaction#2 gratification#1","state of being gratified or satisfied; \"dull repetitious work gives no gratification\"; \"to my immense gratification he arrived on time\""
"n",13987423,1,0,"happiness#1 felicity#2","state of well-being characterized by emotions ranging from contentment to intense joy"
"n",13987905,1,0,"walking_on_air#1 seventh_heaven#1 cloud_nine#1 blissfulness#1 bliss#1","a state of extreme happiness"
"n",13990064,0.75,0,"whiteness#2 sinlessness#1 purity#2 pureness#2 innocence#2","the state of being unsullied by sin or moral wrong; lacking a knowledge of evil"
"n",14039179,0.625,0,"rage#3 passion#3","something that is desired intensely; \"his rage for fame destroyed him\""
"n",14050011,0.75,0,"wholeness#2 haleness#1","a state of robust good health"
"n",14050143,0.625,0,"vitality#2 vim#1 energy#5","a healthy capacity for vigorous activity; \"jogging works off my excess energy\"; \"he seemed full of vim and vigor\""
"n",14050871,0.625,0,"rosiness#1 flush#2 blush#1 bloom#4","a rosy color (especially in the cheeks) taken as a sign of good health"
"n",14051201,0.875,0.125,"radiance#3","an attractive combination of good health and happiness; \"the radiance of her countenance\""
"n",14056280,0.625,0.125,"minimal_brain_dysfunction#1 minimal_brain_damage#1 mbd#1 hyperkinetic_syndrome#1 attention_deficit_hyperactivity_disorder#1 attention_deficit_disorder#1 adhd#1 add#1","a condition (mostly in boys) characterized by behavioral and learning disorders"
"n",14122497,0.625,0.125,"influenza#1 grippe#1 flu#1","an acute febrile highly contagious viral disease"
"n",14190284,0.625,0,"ozone_sickness#1","illness that can occur to persons exposed to ozone in high-altitude aircraft; characterized by sleepiness and headache and chest pains and itchiness"
"n",14204441,0.75,0.25,"algidity#1","prostration characterized by cold and clammy skin and low blood pressure"
"n",14204950,0.75,0.125,"pathology#2","any deviation from a healthy or normal condition"
"n",14225632,0.625,0,"kaposi's_varicelliform_eruption#1 eczema_vaccinatum#1","a now rare complication of vaccinia superimposed on atopic dermatitis with high fever and generalized vesicles and papulovesicles"
"n",14263944,0.625,0,"hog_cholera#1","highly infectious virus disease of swine"
"n",14310292,0.625,0.25,"sudden_infant_death_syndrome#1 sids#1 infant_death#1 crib_death#1 cot_death#1","sudden and unexpected death of an apparently healthy infant during sleep"
"n",14365619,0.625,0.125,"hyperpyrexia#1","extremely high fever (especially in children)"
"n",14379360,0.75,0,"mental_soundness#1 mental_balance#1","the healthy psychological state of someone with good judgment"
"n",14379829,0.625,0,"reasonableness#1 reason#4 rationality#1","the state of having good sense and sound judgment; \"his rationality may have been impaired\"; \"he had to rely less on reason than on rousing their emotions\""
"n",14424517,0.625,0,"restoration#4 renovation#2 refurbishment#1","the state of being restored to its former good condition; \"the inn was a renovation of a Colonial house\""
"n",14428655,0.75,0,"biosafety_level_1#1","exposure only to infectious agents that do not ordinarily cause human disease"
"n",14434866,0.75,0,"emphasis#1 accent#2","special importance or significance; \"the red light gave the central figure increased emphasis\"; \"the room was decorated in shades of grey with distinctive red accents\""
"n",14435445,0.875,0,"preeminence#1 note#8 eminence#1 distinction#2","high status importance owing to marked superiority; \"a scholar of great eminence\""
"n",14438693,0.875,0,"character#6","good repute; \"he is a man of character\""
"n",14447525,0.75,0,"wellbeing#1 well-being#1 welfare#3 upbeat#1 eudaimonia#1 eudaemonia#1","a contented state of being happy and healthy and prosperous; \"the town was finally on the upbeat after our recent troubles\""
"n",14447908,0.625,0,"wellness#1 health#1","a healthy state of wellbeing free from disease; \"physicians should be held responsible for the health of their patients\""
"n",14448200,0.625,0.375,"ill-being#1","lack of prosperity or happiness or health"
"n",14456752,0.625,0,"undress#1","partial or complete nakedness; \"a state of undress\""
"n",14459824,0.625,0,"refinement#1 polish#2 finish#3 culture#5 cultivation#3","a highly developed state of perfection; having a flawless or impeccable quality; \"they performed with great polish\"; \"I admired the exquisite refinement of his prose\"; \"almost an inspiration which gives to all work that finish which is almost art\"--Joseph Conrad"
"n",14460565,0.625,0,"wholeness#1 unity#1 integrity#1","an undivided or unbroken completeness or totality with nothing wanting; \"the integrity of the nervous system is required for normal development\"; \"he took measures to insure the territorial unity of Croatia\""
"n",14461519,0.625,0,"fullness#1 comprehensiveness#1","completeness over a broad scope"
"n",14474052,0.75,0,"successfulness#1 prosperity#2","the condition of prospering; having good fortune"
"n",14495080,0.625,0,"hygiene#1","a condition promoting sanitary practices; \"personal hygiene\""
"n",14495466,0.625,0,"sanitation#1","the state of being clean and conducive to health"
"n",14514685,0.625,0.25,"lotusland#1 lotus_land#1","an idyllic realm of contentment and self-indulgence"
"n",14522113,0.625,0,"good_weather#1","weather suitable for outdoor activities"
"n",14522408,0.75,0.125,"mildness#1 clemency#1","good weather with comfortable temperatures"
"n",14528193,0.625,0,"acquired_immunity#1","immunity to a particular disease that is not innate but has been acquired during life; immunity can be acquired by the development of antibodies after an attack of an infectious disease or by a pregnant mother passing antibodies through the placenta to a fetus or by vaccination"
"n",14542320,0.625,0.25,"health_hazard#1","hazard to the health of those exposed to it"
"n",14546227,0.625,0,"shape#6 condition#5","the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"
"n",14546432,0.625,0,"physical_fitness#1 fitness#2","good physical condition; being in shape or in condition"
"n",14546596,0.75,0,"fettle#1","a state of fitness and good health; \"in fine fettle\""
"n",14563222,0.625,0.125,"foulness#1","disgusting wickedness and immorality; \"he understood the foulness of sin\"; \"his display of foulness deserved severe punishment\"; \"mouths which speak such foulness must be cleansed\""
"n",14734625,0.625,0,"haptoglobin#1","a protein in plasma that binds free hemoglobin and removes it (as from wounds)"
"n",14762664,0.625,0,"glove_leather#1","leather suitable for making gloves"
"n",14801146,0.75,0,"posterboard#1 poster_board#1 paperboard#1","a cardboard suitable for making posters"
"n",14879247,0.625,0,"gift_wrap#1","attractive wrapping paper suitable for wrapping gifts"
"n",14977741,0.625,0,"pay_dirt#1","ore that yields a substantial profit to the miner"
"n",15138903,0.625,0,"honeymoon#1","a holiday taken by a newly married couple"
"n",15230790,0.75,0.125,"golden_age#3","(classical mythology) the first and best age of the world, a time of ideal happiness, prosperity, and innocence; by extension, any flourishing and outstanding period"
"n",15245515,0.75,0,"time#4","a suitable moment; \"it is time to go\""
